"user_id","total_spent","number_of_scans"
"64e62de5ca929250373e6cf5",57.65,22
"62925c1be942f00613f7365e",49.87,20
"604278958fe03212b47e657b",46.61,20
"64063c8880552327897186a5",43.72,18
"60a5363facc00d347abadc8e",101.97,14
"609af341659cf474018831fb",25.55,14
"61d5f5d2c4525a3a478b386b",25.22,14
"624dca0770c07012cd5e6c03",21.91,14
"653a0f40909604bae9071473",84.78,12
"61545c3b504f3536dc3423b6",81.73,12
"5d77d06b0d1bff4316a3ef47",60.73,12
"62099fee0ede521c349b0cb3",60.32,12
"6240f64ee073a81bcca57670",57.33,12
"605a982894a5c74ba439e5ab",56.52,12
"65d4915916cc391732127174",48.77,12
"5eb59d6be7012d13941af5e2",45.93,12
"5e89fe8918bf1a13ef5d874c",45.78,12
"63f1904938f010745b9a2b60",42.74,12
"63ae0dc29f3fc9c7546ef080",42.13,12
"610b23fbc4840a0f4c174083",42.05,12
"6682cbf6465f309038ae1888",37.47,12
"6394fd7d02a4e512e05dd377",36.80,12
"65cd1a2816cc391732119c3a",33.83,12
"66651af0e04f743a096e3bf9",33.68,12
"5c8fdcc79d47895c54a6fe22",32.78,12
"61aea787e9b3d75037b5ea45",31.99,12
"62b6189d37e6e08b0774ce73",26.25,12
"5ddbca50ab7b8c53a76aeee3",24.54,12
"66390784b7b24d45d93a0e6a",24.49,12
"65845b6bc9e6fe40ea67e108",101.43,10
"607068e86393686b73dbef4a",67.29,10
"653ec447a225ea102b7f0846",57.36,10
"61e3a441d88a8533ec0deae2",56.79,10
"61cb525333c9bf3ef9f12199",54.72,10
"646a82267a342372c857800a",54.19,10
"664758b6e04f743a0969e342",49.82,10
"61d4648bb50b10397ec7c0bf",49.82,10
"5cb713ebf63d92546e763f9c",46.12,10
"6101f2a86fa7303db6f90f70",43.24,10
"619c6018f998e47aad318354",42.81,10
"63decbc7b425eb11a473ff6d",40.67,10
"649d0d38127ddb5d7f0182b8",39.74,10
"61ff28874bb60713e8245be7",39.63,10
"6456eac19f7c516a13f471f4",37.94,10
"667586cb86cc41b000cc6139",37.70,10
"64d38fecf83efd697ff872d7",36.90,10
"6609a086828f877fdee90252",35.83,10
"619be73c06570b5913a14466",35.61,10
"623e16393b5bbd24adc188e5",32.70,10
"63090406dd9c692ad8550aac",32.61,10
"62193c62792a4c3d1afb7d71",32.51,10
"653d691d909604bae9076d1a",31.66,10
"62e6f1ce48cc274645652f44",31.56,10
"5defd7fa077ad111c31a8e3d",31.49,10
"62d861e81d76344f1a35fa02",31.46,10
"63c45d9a3d310dceeac80437",31.08,10
"634aee03305e373439460ac3",31.06,10
"609fef0169778932d9945085",30.83,10
"64e4f109d7d4f1fdb00a5fcd",30.26,10
"60a42b33f29c34057f5e46a9",30.20,10
"5d48752bb292771a74207fa4",29.98,10
"6357585f872fb61c0e82178c",29.42,10
"65e4999416cc391732142f72",28.27,10
"5d2b3af88edb072450e524e6",26.96,10
"5d8661a736d69e65e99233af",26.76,10
"653b2370a225ea102b7ea6ad",26.54,10
"64e68f7b0581c9c39db6f408",26.12,10
"6361ac017de9f3635203b500",25.72,10
